Bank Account,Date,Narrative,Debit Amount,Credit Amount,Balance,Categories,Serial
099999123453,08/05/2026,SUPER CLEARING HOUSE Nina Sales Representative PAY-20260508-EMP-NINA-SALES,128.63,,348987.75,SUPER,SUPER-PAY-20260508-EMP-NINA-SALES
099999123453,08/05/2026,SUPER CLEARING HOUSE Grace High Income QA PAY-20260508-EMP-GRACE-HIG,438.46,,349116.38,SUPER,SUPER-PAY-20260508-EMP-GRACE-HIG
099999123453,08/05/2026,SUPER CLEARING HOUSE Ben Builder PAY-20260508-EMP-BEN-BUILDER,140.65,,349554.84,SUPER,SUPER-PAY-20260508-EMP-BEN-BUILDER
099999123453,08/05/2026,SUPER CLEARING HOUSE Amara Engineer PAY-20260508-EMP-AMARA-ENGINEER,207.69,,349695.49,SUPER,SUPER-PAY-20260508-EMP-AMARA-ENGINEER
099999123453,08/05/2026,PAYROLL NET WAGE Nina Sales Representative PAY-20260508-EMP-NINA-SALES,896.90,,349903.18,PAYROLL,PAYNET-PAY-20260508-EMP-NINA-SALES
099999123453,08/05/2026,PAYROLL NET WAGE Grace High Income QA PAY-20260508-EMP-GRACE-HIG,2449.85,,350800.08,PAYROLL,PAYNET-PAY-20260508-EMP-GRACE-HIG
099999123453,08/05/2026,PAYROLL NET WAGE Ben Builder PAY-20260508-EMP-BEN-BUILDER,980.10,,353249.93,PAYROLL,PAYNET-PAY-20260508-EMP-BEN-BUILDER
099999123453,08/05/2026,PAYROLL NET WAGE Amara Engineer PAY-20260508-EMP-AMARA-ENGINEER,1326.77,,354230.03,PAYROLL,PAYNET-PAY-20260508-EMP-AMARA-ENGINEER
099999123453,08/05/2026,PAYG WITHHOLDING REMITTANCE ATO Nina Sales Representative PAY-20260508-EMP-NINA-SALES,175.00,,355556.80,PAYROLL_TAX,PAYG-PAY-20260508-EMP-NINA-SALES
099999123453,08/05/2026,PAYG WITHHOLDING REMITTANCE ATO Grace High Income QA PAY-20260508-EMP-GRACE-HIG,1204.00,,355731.80,PAYROLL_TAX,PAYG-PAY-20260508-EMP-GRACE-HIG
099999123453,08/05/2026,PAYG WITHHOLDING REMITTANCE ATO Ben Builder PAY-20260508-EMP-BEN-BUILDER,211.00,,356935.80,PAYROLL_TAX,PAYG-PAY-20260508-EMP-BEN-BUILDER
099999123453,08/05/2026,PAYG WITHHOLDING REMITTANCE ATO Amara Engineer PAY-20260508-EMP-AMARA-ENGINEER,404.00,,357146.80,PAYROLL_TAX,PAYG-PAY-20260508-EMP-AMARA-ENGINEER
099999123453,04/05/2026,WITHDRAWAL-OSKO PAYMENT Bank BANKFEE-202604,35.00,,357550.80,PAYMENT,BTP-000040
099999123453,01/05/2026,SUPER CLEARING HOUSE Nina Sales Representative PAY-20260501-EMP-NINA-SALES,272.63,,357585.80,SUPER,SUPER-PAY-20260501-EMP-NINA-SALES
099999123453,01/05/2026,SUPER CLEARING HOUSE Grace High Income QA PAY-20260501-EMP-GRACE-HIG,438.46,,357858.43,SUPER,SUPER-PAY-20260501-EMP-GRACE-HIG
099999123453,01/05/2026,SUPER CLEARING HOUSE Ben Builder PAY-20260501-EMP-BEN-BUILDER,140.65,,358296.89,SUPER,SUPER-PAY-20260501-EMP-BEN-BUILDER
099999123453,01/05/2026,SUPER CLEARING HOUSE Amara Engineer PAY-20260501-EMP-AMARA-ENGINEER,207.69,,358437.54,SUPER,SUPER-PAY-20260501-EMP-AMARA-ENGINEER
099999123453,01/05/2026,PAYROLL NET WAGE Nina Sales Representative PAY-20260501-EMP-NINA-SALES,1666.90,,358645.23,PAYROLL,PAYNET-PAY-20260501-EMP-NINA-SALES
099999123453,01/05/2026,PAYROLL NET WAGE Grace High Income QA PAY-20260501-EMP-GRACE-HIG,2449.85,,360312.13,PAYROLL,PAYNET-PAY-20260501-EMP-GRACE-HIG
099999123453,01/05/2026,PAYROLL NET WAGE Ben Builder PAY-20260501-EMP-BEN-BUILDER,966.10,,362761.98,PAYROLL,PAYNET-PAY-20260501-EMP-BEN-BUILDER
099999123453,01/05/2026,PAYROLL NET WAGE Amara Engineer PAY-20260501-EMP-AMARA-ENGINEER,1326.77,,363728.08,PAYROLL,PAYNET-PAY-20260501-EMP-AMARA-ENGINEER
099999123453,01/05/2026,PAYG WITHHOLDING REMITTANCE ATO Nina Sales Representative PAY-20260501-EMP-NINA-SALES,605.00,,365054.85,PAYROLL_TAX,PAYG-PAY-20260501-EMP-NINA-SALES
099999123453,01/05/2026,PAYG WITHHOLDING REMITTANCE ATO Grace High Income QA PAY-20260501-EMP-GRACE-HIG,1204.00,,365659.85,PAYROLL_TAX,PAYG-PAY-20260501-EMP-GRACE-HIG
099999123453,01/05/2026,PAYG WITHHOLDING REMITTANCE ATO Ben Builder PAY-20260501-EMP-BEN-BUILDER,206.00,,366863.85,PAYROLL_TAX,PAYG-PAY-20260501-EMP-BEN-BUILDER
099999123453,01/05/2026,PAYG WITHHOLDING REMITTANCE ATO Amara Engineer PAY-20260501-EMP-AMARA-ENGINEER,404.00,,367069.85,PAYROLL_TAX,PAYG-PAY-20260501-EMP-AMARA-ENGINEER
099999123453,25/04/2026,WITHDRAWAL-OSKO PAYMENT Liam Surveying Contractors Pty Ltd CONTRACT-202604,3520.00,,367473.85,PAYMENT,BTP-000039
099999123453,24/04/2026,SUPER CLEARING HOUSE Nina Sales Representative PAY-20260424-EMP-NINA-SALES,128.63,,370993.85,SUPER,SUPER-PAY-20260424-EMP-NINA-SALES
099999123453,24/04/2026,SUPER CLEARING HOUSE Grace High Income QA PAY-20260424-EMP-GRACE-HIG,438.46,,371122.48,SUPER,SUPER-PAY-20260424-EMP-GRACE-HIG
099999123453,24/04/2026,SUPER CLEARING HOUSE Ben Builder PAY-20260424-EMP-BEN-BUILDER,140.65,,371560.94,SUPER,SUPER-PAY-20260424-EMP-BEN-BUILDER
099999123453,24/04/2026,SUPER CLEARING HOUSE Amara Engineer PAY-20260424-EMP-AMARA-ENGINEER,207.69,,371701.59,SUPER,SUPER-PAY-20260424-EMP-AMARA-ENGINEER
099999123453,24/04/2026,PAYROLL NET WAGE Nina Sales Representative PAY-20260424-EMP-NINA-SALES,896.90,,371909.28,PAYROLL,PAYNET-PAY-20260424-EMP-NINA-SALES
099999123453,24/04/2026,PAYROLL NET WAGE Grace High Income QA PAY-20260424-EMP-GRACE-HIG,2449.85,,372806.18,PAYROLL,PAYNET-PAY-20260424-EMP-GRACE-HIG
099999123453,24/04/2026,PAYROLL NET WAGE Ben Builder PAY-20260424-EMP-BEN-BUILDER,966.10,,375256.03,PAYROLL,PAYNET-PAY-20260424-EMP-BEN-BUILDER
099999123453,24/04/2026,PAYROLL NET WAGE Amara Engineer PAY-20260424-EMP-AMARA-ENGINEER,1326.77,,376222.13,PAYROLL,PAYNET-PAY-20260424-EMP-AMARA-ENGINEER
099999123453,24/04/2026,PAYG WITHHOLDING REMITTANCE ATO Nina Sales Representative PAY-20260424-EMP-NINA-SALES,175.00,,377548.90,PAYROLL_TAX,PAYG-PAY-20260424-EMP-NINA-SALES
099999123453,24/04/2026,PAYG WITHHOLDING REMITTANCE ATO Grace High Income QA PAY-20260424-EMP-GRACE-HIG,1204.00,,377723.90,PAYROLL_TAX,PAYG-PAY-20260424-EMP-GRACE-HIG
099999123453,24/04/2026,PAYG WITHHOLDING REMITTANCE ATO Ben Builder PAY-20260424-EMP-BEN-BUILDER,206.00,,378927.90,PAYROLL_TAX,PAYG-PAY-20260424-EMP-BEN-BUILDER
099999123453,24/04/2026,PAYG WITHHOLDING REMITTANCE ATO Amara Engineer PAY-20260424-EMP-AMARA-ENGINEER,404.00,,379133.90,PAYROLL_TAX,PAYG-PAY-20260424-EMP-AMARA-ENGINEER
099999123453,22/04/2026,WITHDRAWAL-OSKO PAYMENT Cloud Software Vendors SOFT-202604,1595.00,,379537.90,PAYMENT,BTP-000038
099999123453,18/04/2026,DEPOSIT OSKO PAYMENT Project Client B INV-010,,86350.00,381132.90,DEP,BTR-000010
099999123453,17/04/2026,SUPER CLEARING HOUSE Nina Sales Representative PAY-20260417-EMP-NINA-SALES,128.63,,294782.90,SUPER,SUPER-PAY-20260417-EMP-NINA-SALES
099999123453,17/04/2026,SUPER CLEARING HOUSE Grace High Income QA PAY-20260417-EMP-GRACE-HIG,438.46,,294911.53,SUPER,SUPER-PAY-20260417-EMP-GRACE-HIG
099999123453,17/04/2026,SUPER CLEARING HOUSE Ben Builder PAY-20260417-EMP-BEN-BUILDER,140.65,,295349.99,SUPER,SUPER-PAY-20260417-EMP-BEN-BUILDER
099999123453,17/04/2026,SUPER CLEARING HOUSE Amara Engineer PAY-20260417-EMP-AMARA-ENGINEER,207.69,,295490.64,SUPER,SUPER-PAY-20260417-EMP-AMARA-ENGINEER
099999123453,17/04/2026,PAYROLL NET WAGE Nina Sales Representative PAY-20260417-EMP-NINA-SALES,896.90,,295698.33,PAYROLL,PAYNET-PAY-20260417-EMP-NINA-SALES
099999123453,17/04/2026,PAYROLL NET WAGE Grace High Income QA PAY-20260417-EMP-GRACE-HIG,2449.85,,296595.23,PAYROLL,PAYNET-PAY-20260417-EMP-GRACE-HIG
