PayRunID,EmployeeID,EmployeeName,IncomeType,GrossAmount,PAYGWithholding,SuperLiability,TaxTreatmentCode,EmploymentBasis,AwardCode,STPReady
PAY-20250905-EMP-AMARA-ENGINEER,EMP-AMARA-ENGINEER,Amara Engineer,SalaryAndWages,1730.77,377.00,207.69,RT,full_time_annualised_wage,MA000065,TRUE
PAY-20250905-EMP-NINA-SALES,EMP-NINA-SALES,Nina Sales Representative,SalaryAndWages,2271.90,550.00,272.63,RT,full_time_commission,MA000083,TRUE
PAY-20250905-EMP-GRACE-HIG,EMP-GRACE-HIG,Grace High Income QA,SalaryAndWages,3461.54,991.00,415.38,RT,full_time_high_income_guarantee,MA000065,TRUE
PAY-20250912-EMP-BEN-BUILDER,EMP-BEN-BUILDER,Ben Builder,SalaryAndWages,1172.10,198.00,140.65,RT,full_time,MA000020,TRUE
PAY-20250912-EMP-AMARA-ENGINEER,EMP-AMARA-ENGINEER,Amara Engineer,SalaryAndWages,1730.77,377.00,207.69,RT,full_time_annualised_wage,MA000065,TRUE
PAY-20250912-EMP-NINA-SALES,EMP-NINA-SALES,Nina Sales Representative,SalaryAndWages,1071.90,165.00,128.63,RT,full_time_commission,MA000083,TRUE
PAY-20250912-EMP-GRACE-HIG,EMP-GRACE-HIG,Grace High Income QA,SalaryAndWages,3461.54,991.00,415.38,RT,full_time_high_income_guarantee,MA000065,TRUE
PAY-20250919-EMP-BEN-BUILDER,EMP-BEN-BUILDER,Ben Builder,SalaryAndWages,1172.10,198.00,140.65,RT,full_time,MA000020,TRUE
PAY-20250919-EMP-AMARA-ENGINEER,EMP-AMARA-ENGINEER,Amara Engineer,SalaryAndWages,1730.77,377.00,207.69,RT,full_time_annualised_wage,MA000065,TRUE
PAY-20250919-EMP-NINA-SALES,EMP-NINA-SALES,Nina Sales Representative,SalaryAndWages,1071.90,165.00,128.63,RT,full_time_commission,MA000083,TRUE
PAY-20250919-EMP-GRACE-HIG,EMP-GRACE-HIG,Grace High Income QA,SalaryAndWages,3461.54,991.00,415.38,RT,full_time_high_income_guarantee,MA000065,TRUE
PAY-20250926-EMP-BEN-BUILDER,EMP-BEN-BUILDER,Ben Builder,SalaryAndWages,1172.10,198.00,140.65,RT,full_time,MA000020,TRUE
PAY-20250926-EMP-AMARA-ENGINEER,EMP-AMARA-ENGINEER,Amara Engineer,SalaryAndWages,1730.77,377.00,207.69,RT,full_time_annualised_wage,MA000065,TRUE
PAY-20250926-EMP-NINA-SALES,EMP-NINA-SALES,Nina Sales Representative,SalaryAndWages,1071.90,165.00,128.63,RT,full_time_commission,MA000083,TRUE
PAY-20250926-EMP-GRACE-HIG,EMP-GRACE-HIG,Grace High Income QA,SalaryAndWages,3461.54,991.00,415.38,RT,full_time_high_income_guarantee,MA000065,TRUE
PAY-20251003-EMP-BEN-BUILDER,EMP-BEN-BUILDER,Ben Builder,SalaryAndWages,1172.10,198.00,140.65,RT,full_time,MA000020,TRUE
PAY-20251003-EMP-AMARA-ENGINEER,EMP-AMARA-ENGINEER,Amara Engineer,SalaryAndWages,1730.77,377.00,207.69,RT,full_time_annualised_wage,MA000065,TRUE
PAY-20251003-EMP-NINA-SALES,EMP-NINA-SALES,Nina Sales Representative,SalaryAndWages,2271.90,550.00,272.63,RT,full_time_commission,MA000083,TRUE
PAY-20251003-EMP-GRACE-HIG,EMP-GRACE-HIG,Grace High Income QA,SalaryAndWages,3461.54,991.00,415.38,RT,full_time_high_income_guarantee,MA000065,TRUE
PAY-20251010-EMP-BEN-BUILDER,EMP-BEN-BUILDER,Ben Builder,SalaryAndWages,1191.10,204.00,142.93,RT,full_time,MA000020,TRUE
PAY-20251010-EMP-AMARA-ENGINEER,EMP-AMARA-ENGINEER,Amara Engineer,SalaryAndWages,1730.77,377.00,207.69,RT,full_time_annualised_wage,MA000065,TRUE
PAY-20251010-EMP-NINA-SALES,EMP-NINA-SALES,Nina Sales Representative,SalaryAndWages,1071.90,165.00,128.63,RT,full_time_commission,MA000083,TRUE
PAY-20251010-EMP-GRACE-HIG,EMP-GRACE-HIG,Grace High Income QA,SalaryAndWages,3461.54,991.00,415.38,RT,full_time_high_income_guarantee,MA000065,TRUE
PAY-20251017-EMP-BEN-BUILDER,EMP-BEN-BUILDER,Ben Builder,SalaryAndWages,1172.10,198.00,140.65,RT,full_time,MA000020,TRUE
PAY-20251017-EMP-AMARA-ENGINEER,EMP-AMARA-ENGINEER,Amara Engineer,SalaryAndWages,1730.77,377.00,207.69,RT,full_time_annualised_wage,MA000065,TRUE
PAY-20251017-EMP-NINA-SALES,EMP-NINA-SALES,Nina Sales Representative,SalaryAndWages,1071.90,165.00,128.63,RT,full_time_commission,MA000083,TRUE
PAY-20251017-EMP-GRACE-HIG,EMP-GRACE-HIG,Grace High Income QA,SalaryAndWages,3461.54,991.00,415.38,RT,full_time_high_income_guarantee,MA000065,TRUE
PAY-20251024-EMP-BEN-BUILDER,EMP-BEN-BUILDER,Ben Builder,SalaryAndWages,1172.10,198.00,140.65,RT,full_time,MA000020,TRUE
PAY-20251024-EMP-AMARA-ENGINEER,EMP-AMARA-ENGINEER,Amara Engineer,SalaryAndWages,1730.77,377.00,207.69,RT,full_time_annualised_wage,MA000065,TRUE
PAY-20251024-EMP-NINA-SALES,EMP-NINA-SALES,Nina Sales Representative,SalaryAndWages,1071.90,165.00,128.63,RT,full_time_commission,MA000083,TRUE
PAY-20251024-EMP-GRACE-HIG,EMP-GRACE-HIG,Grace High Income QA,SalaryAndWages,3461.54,991.00,415.38,RT,full_time_high_income_guarantee,MA000065,TRUE
PAY-20251031-EMP-BEN-BUILDER,EMP-BEN-BUILDER,Ben Builder,SalaryAndWages,1172.10,198.00,140.65,RT,full_time,MA000020,TRUE
PAY-20251031-EMP-AMARA-ENGINEER,EMP-AMARA-ENGINEER,Amara Engineer,SalaryAndWages,1730.77,377.00,207.69,RT,full_time_annualised_wage,MA000065,TRUE
PAY-20251031-EMP-NINA-SALES,EMP-NINA-SALES,Nina Sales Representative,SalaryAndWages,1071.90,165.00,128.63,RT,full_time_commission,MA000083,TRUE
PAY-20251031-EMP-GRACE-HIG,EMP-GRACE-HIG,Grace High Income QA,SalaryAndWages,3461.54,991.00,415.38,RT,full_time_high_income_guarantee,MA000065,TRUE
PAY-20251107-EMP-BEN-BUILDER,EMP-BEN-BUILDER,Ben Builder,SalaryAndWages,1172.10,198.00,140.65,RT,full_time,MA000020,TRUE
PAY-20251107-EMP-AMARA-ENGINEER,EMP-AMARA-ENGINEER,Amara Engineer,SalaryAndWages,1730.77,377.00,207.69,RT,full_time_annualised_wage,MA000065,TRUE
PAY-20251107-EMP-NINA-SALES,EMP-NINA-SALES,Nina Sales Representative,SalaryAndWages,2271.90,550.00,272.63,RT,full_time_commission,MA000083,TRUE
PAY-20251107-EMP-GRACE-HIG,EMP-GRACE-HIG,Grace High Income QA,SalaryAndWages,3461.54,991.00,415.38,RT,full_time_high_income_guarantee,MA000065,TRUE
PAY-20251114-EMP-BEN-BUILDER,EMP-BEN-BUILDER,Ben Builder,SalaryAndWages,1191.10,204.00,142.93,RT,full_time,MA000020,TRUE
PAY-20251114-EMP-AMARA-ENGINEER,EMP-AMARA-ENGINEER,Amara Engineer,SalaryAndWages,1730.77,377.00,207.69,RT,full_time_annualised_wage,MA000065,TRUE
PAY-20251114-EMP-NINA-SALES,EMP-NINA-SALES,Nina Sales Representative,SalaryAndWages,1071.90,165.00,128.63,RT,full_time_commission,MA000083,TRUE
PAY-20251114-EMP-GRACE-HIG,EMP-GRACE-HIG,Grace High Income QA,SalaryAndWages,3461.54,991.00,415.38,RT,full_time_high_income_guarantee,MA000065,TRUE
PAY-20251121-EMP-BEN-BUILDER,EMP-BEN-BUILDER,Ben Builder,SalaryAndWages,1172.10,198.00,140.65,RT,full_time,MA000020,TRUE
PAY-20251121-EMP-AMARA-ENGINEER,EMP-AMARA-ENGINEER,Amara Engineer,SalaryAndWages,1730.77,377.00,207.69,RT,full_time_annualised_wage,MA000065,TRUE
PAY-20251121-EMP-NINA-SALES,EMP-NINA-SALES,Nina Sales Representative,SalaryAndWages,1071.90,165.00,128.63,RT,full_time_commission,MA000083,TRUE
PAY-20251121-EMP-GRACE-HIG,EMP-GRACE-HIG,Grace High Income QA,SalaryAndWages,3461.54,991.00,415.38,RT,full_time_high_income_guarantee,MA000065,TRUE
PAY-20251128-EMP-BEN-BUILDER,EMP-BEN-BUILDER,Ben Builder,SalaryAndWages,1172.10,198.00,140.65,RT,full_time,MA000020,TRUE
PAY-20251128-EMP-AMARA-ENGINEER,EMP-AMARA-ENGINEER,Amara Engineer,SalaryAndWages,1730.77,377.00,207.69,RT,full_time_annualised_wage,MA000065,TRUE
PAY-20251128-EMP-NINA-SALES,EMP-NINA-SALES,Nina Sales Representative,SalaryAndWages,1071.90,165.00,128.63,RT,full_time_commission,MA000083,TRUE
PAY-20251128-EMP-GRACE-HIG,EMP-GRACE-HIG,Grace High Income QA,SalaryAndWages,3461.54,991.00,415.38,RT,full_time_high_income_guarantee,MA000065,TRUE
PAY-20251205-EMP-BEN-BUILDER,EMP-BEN-BUILDER,Ben Builder,SalaryAndWages,1172.10,198.00,140.65,RT,full_time,MA000020,TRUE
PAY-20251205-EMP-AMARA-ENGINEER,EMP-AMARA-ENGINEER,Amara Engineer,SalaryAndWages,1730.77,377.00,207.69,RT,full_time_annualised_wage,MA000065,TRUE
PAY-20251205-EMP-NINA-SALES,EMP-NINA-SALES,Nina Sales Representative,SalaryAndWages,2271.90,550.00,272.63,RT,full_time_commission,MA000083,TRUE
PAY-20251205-EMP-GRACE-HIG,EMP-GRACE-HIG,Grace High Income QA,SalaryAndWages,3461.54,991.00,415.38,RT,full_time_high_income_guarantee,MA000065,TRUE
PAY-20251212-EMP-BEN-BUILDER,EMP-BEN-BUILDER,Ben Builder,SalaryAndWages,1172.10,198.00,140.65,RT,full_time,MA000020,TRUE
PAY-20251212-EMP-AMARA-ENGINEER,EMP-AMARA-ENGINEER,Amara Engineer,SalaryAndWages,1730.77,377.00,207.69,RT,full_time_annualised_wage,MA000065,TRUE
PAY-20251212-EMP-NINA-SALES,EMP-NINA-SALES,Nina Sales Representative,SalaryAndWages,1071.90,165.00,128.63,RT,full_time_commission,MA000083,TRUE
PAY-20251212-EMP-GRACE-HIG,EMP-GRACE-HIG,Grace High Income QA,SalaryAndWages,3461.54,991.00,415.38,RT,full_time_high_income_guarantee,MA000065,TRUE
PAY-20251219-EMP-BEN-BUILDER,EMP-BEN-BUILDER,Ben Builder,SalaryAndWages,1191.10,204.00,142.93,RT,full_time,MA000020,TRUE
PAY-20251219-EMP-AMARA-ENGINEER,EMP-AMARA-ENGINEER,Amara Engineer,SalaryAndWages,1730.77,377.00,207.69,RT,full_time_annualised_wage,MA000065,TRUE
PAY-20251219-EMP-NINA-SALES,EMP-NINA-SALES,Nina Sales Representative,SalaryAndWages,1071.90,165.00,128.63,RT,full_time_commission,MA000083,TRUE
PAY-20251219-EMP-GRACE-HIG,EMP-GRACE-HIG,Grace High Income QA,SalaryAndWages,3461.54,991.00,415.38,RT,full_time_high_income_guarantee,MA000065,TRUE
PAY-20251226-EMP-BEN-BUILDER,EMP-BEN-BUILDER,Ben Builder,SalaryAndWages,1172.10,198.00,140.65,RT,full_time,MA000020,TRUE
PAY-20251226-EMP-AMARA-ENGINEER,EMP-AMARA-ENGINEER,Amara Engineer,SalaryAndWages,1730.77,377.00,207.69,RT,full_time_annualised_wage,MA000065,TRUE
PAY-20251226-EMP-NINA-SALES,EMP-NINA-SALES,Nina Sales Representative,SalaryAndWages,1071.90,165.00,128.63,RT,full_time_commission,MA000083,TRUE
PAY-20251226-EMP-GRACE-HIG,EMP-GRACE-HIG,Grace High Income QA,SalaryAndWages,3461.54,991.00,415.38,RT,full_time_high_income_guarantee,MA000065,TRUE
PAY-20260102-EMP-BEN-BUILDER,EMP-BEN-BUILDER,Ben Builder,SalaryAndWages,1172.10,198.00,140.65,RT,full_time,MA000020,TRUE
PAY-20260102-EMP-AMARA-ENGINEER,EMP-AMARA-ENGINEER,Amara Engineer,SalaryAndWages,1730.77,377.00,207.69,RT,full_time_annualised_wage,MA000065,TRUE
PAY-20260102-EMP-NINA-SALES,EMP-NINA-SALES,Nina Sales Representative,SalaryAndWages,2271.90,550.00,272.63,RT,full_time_commission,MA000083,TRUE
PAY-20260102-EMP-GRACE-HIG,EMP-GRACE-HIG,Grace High Income QA,SalaryAndWages,3461.54,991.00,415.38,RT,full_time_high_income_guarantee,MA000065,TRUE
PAY-20260109-EMP-BEN-BUILDER,EMP-BEN-BUILDER,Ben Builder,SalaryAndWages,1172.10,198.00,140.65,RT,full_time,MA000020,TRUE
PAY-20260109-EMP-AMARA-ENGINEER,EMP-AMARA-ENGINEER,Amara Engineer,SalaryAndWages,1730.77,377.00,207.69,RT,full_time_annualised_wage,MA000065,TRUE
PAY-20260109-EMP-NINA-SALES,EMP-NINA-SALES,Nina Sales Representative,SalaryAndWages,1071.90,165.00,128.63,RT,full_time_commission,MA000083,TRUE
PAY-20260109-EMP-GRACE-HIG,EMP-GRACE-HIG,Grace High Income QA,SalaryAndWages,3461.54,991.00,415.38,RT,full_time_high_income_guarantee,MA000065,TRUE
PAY-20260116-EMP-BEN-BUILDER,EMP-BEN-BUILDER,Ben Builder,SalaryAndWages,1172.10,198.00,140.65,RT,full_time,MA000020,TRUE
PAY-20260116-EMP-AMARA-ENGINEER,EMP-AMARA-ENGINEER,Amara Engineer,SalaryAndWages,1730.77,377.00,207.69,RT,full_time_annualised_wage,MA000065,TRUE
PAY-20260116-EMP-NINA-SALES,EMP-NINA-SALES,Nina Sales Representative,SalaryAndWages,1071.90,165.00,128.63,RT,full_time_commission,MA000083,TRUE
PAY-20260116-EMP-GRACE-HIG,EMP-GRACE-HIG,Grace High Income QA,SalaryAndWages,3461.54,991.00,415.38,RT,full_time_high_income_guarantee,MA000065,TRUE
PAY-20260123-EMP-BEN-BUILDER,EMP-BEN-BUILDER,Ben Builder,SalaryAndWages,1191.10,204.00,142.93,RT,full_time,MA000020,TRUE
PAY-20260123-EMP-AMARA-ENGINEER,EMP-AMARA-ENGINEER,Amara Engineer,SalaryAndWages,1730.77,377.00,207.69,RT,full_time_annualised_wage,MA000065,TRUE
PAY-20260123-EMP-NINA-SALES,EMP-NINA-SALES,Nina Sales Representative,SalaryAndWages,1071.90,165.00,128.63,RT,full_time_commission,MA000083,TRUE
PAY-20260123-EMP-GRACE-HIG,EMP-GRACE-HIG,Grace High Income QA,SalaryAndWages,3461.54,991.00,415.38,RT,full_time_high_income_guarantee,MA000065,TRUE
PAY-20260130-EMP-BEN-BUILDER,EMP-BEN-BUILDER,Ben Builder,SalaryAndWages,1172.10,198.00,140.65,RT,full_time,MA000020,TRUE
PAY-20260130-EMP-AMARA-ENGINEER,EMP-AMARA-ENGINEER,Amara Engineer,SalaryAndWages,1730.77,377.00,207.69,RT,full_time_annualised_wage,MA000065,TRUE
PAY-20260130-EMP-NINA-SALES,EMP-NINA-SALES,Nina Sales Representative,SalaryAndWages,1071.90,165.00,128.63,RT,full_time_commission,MA000083,TRUE
PAY-20260130-EMP-GRACE-HIG,EMP-GRACE-HIG,Grace High Income QA,SalaryAndWages,3461.54,991.00,415.38,RT,full_time_high_income_guarantee,MA000065,TRUE
PAY-20260206-EMP-BEN-BUILDER,EMP-BEN-BUILDER,Ben Builder,SalaryAndWages,1172.10,198.00,140.65,RT,full_time,MA000020,TRUE
PAY-20260206-EMP-AMARA-ENGINEER,EMP-AMARA-ENGINEER,Amara Engineer,SalaryAndWages,1730.77,377.00,207.69,RT,full_time_annualised_wage,MA000065,TRUE
PAY-20260206-EMP-NINA-SALES,EMP-NINA-SALES,Nina Sales Representative,SalaryAndWages,2271.90,550.00,272.63,RT,full_time_commission,MA000083,TRUE
PAY-20260206-EMP-GRACE-HIG,EMP-GRACE-HIG,Grace High Income QA,SalaryAndWages,3461.54,991.00,415.38,RT,full_time_high_income_guarantee,MA000065,TRUE
PAY-20260213-EMP-BEN-BUILDER,EMP-BEN-BUILDER,Ben Builder,SalaryAndWages,1172.10,198.00,140.65,RT,full_time,MA000020,TRUE
PAY-20260213-EMP-AMARA-ENGINEER,EMP-AMARA-ENGINEER,Amara Engineer,SalaryAndWages,1730.77,377.00,207.69,RT,full_time_annualised_wage,MA000065,TRUE
PAY-20260213-EMP-NINA-SALES,EMP-NINA-SALES,Nina Sales Representative,SalaryAndWages,1071.90,165.00,128.63,RT,full_time_commission,MA000083,TRUE
PAY-20260213-EMP-GRACE-HIG,EMP-GRACE-HIG,Grace High Income QA,SalaryAndWages,3461.54,991.00,415.38,RT,full_time_high_income_guarantee,MA000065,TRUE
PAY-20260220-EMP-BEN-BUILDER,EMP-BEN-BUILDER,Ben Builder,SalaryAndWages,1172.10,198.00,140.65,RT,full_time,MA000020,TRUE
PAY-20260220-EMP-AMARA-ENGINEER,EMP-AMARA-ENGINEER,Amara Engineer,SalaryAndWages,1730.77,377.00,207.69,RT,full_time_annualised_wage,MA000065,TRUE
PAY-20260220-EMP-NINA-SALES,EMP-NINA-SALES,Nina Sales Representative,SalaryAndWages,1071.90,165.00,128.63,RT,full_time_commission,MA000083,TRUE
PAY-20260220-EMP-GRACE-HIG,EMP-GRACE-HIG,Grace High Income QA,SalaryAndWages,3461.54,991.00,415.38,RT,full_time_high_income_guarantee,MA000065,TRUE
PAY-20260227-EMP-BEN-BUILDER,EMP-BEN-BUILDER,Ben Builder,SalaryAndWages,1191.10,204.00,142.93,RT,full_time,MA000020,TRUE
PAY-20260227-EMP-AMARA-ENGINEER,EMP-AMARA-ENGINEER,Amara Engineer,SalaryAndWages,1730.77,377.00,207.69,RT,full_time_annualised_wage,MA000065,TRUE
PAY-20260227-EMP-NINA-SALES,EMP-NINA-SALES,Nina Sales Representative,SalaryAndWages,1071.90,165.00,128.63,RT,full_time_commission,MA000083,TRUE
PAY-20260227-EMP-GRACE-HIG,EMP-GRACE-HIG,Grace High Income QA,SalaryAndWages,3461.54,991.00,415.38,RT,full_time_high_income_guarantee,MA000065,TRUE
PAY-20260306-EMP-BEN-BUILDER,EMP-BEN-BUILDER,Ben Builder,SalaryAndWages,1172.10,198.00,140.65,RT,full_time,MA000020,TRUE
PAY-20260306-EMP-AMARA-ENGINEER,EMP-AMARA-ENGINEER,Amara Engineer,SalaryAndWages,1730.77,377.00,207.69,RT,full_time_annualised_wage,MA000065,TRUE
PAY-20260306-EMP-NINA-SALES,EMP-NINA-SALES,Nina Sales Representative,SalaryAndWages,2271.90,550.00,272.63,RT,full_time_commission,MA000083,TRUE
PAY-20260306-EMP-GRACE-HIG,EMP-GRACE-HIG,Grace High Income QA,SalaryAndWages,3461.54,991.00,415.38,RT,full_time_high_income_guarantee,MA000065,TRUE
PAY-20260313-EMP-BEN-BUILDER,EMP-BEN-BUILDER,Ben Builder,SalaryAndWages,1172.10,198.00,140.65,RT,full_time,MA000020,TRUE
PAY-20260313-EMP-AMARA-ENGINEER,EMP-AMARA-ENGINEER,Amara Engineer,SalaryAndWages,1730.77,377.00,207.69,RT,full_time_annualised_wage,MA000065,TRUE
PAY-20260313-EMP-NINA-SALES,EMP-NINA-SALES,Nina Sales Representative,SalaryAndWages,1071.90,165.00,128.63,RT,full_time_commission,MA000083,TRUE
PAY-20260313-EMP-GRACE-HIG,EMP-GRACE-HIG,Grace High Income QA,SalaryAndWages,3461.54,991.00,415.38,RT,full_time_high_income_guarantee,MA000065,TRUE
PAY-20260320-EMP-BEN-BUILDER,EMP-BEN-BUILDER,Ben Builder,SalaryAndWages,1172.10,198.00,140.65,RT,full_time,MA000020,TRUE
PAY-20260320-EMP-AMARA-ENGINEER,EMP-AMARA-ENGINEER,Amara Engineer,SalaryAndWages,1730.77,377.00,207.69,RT,full_time_annualised_wage,MA000065,TRUE
PAY-20260320-EMP-NINA-SALES,EMP-NINA-SALES,Nina Sales Representative,SalaryAndWages,1071.90,165.00,128.63,RT,full_time_commission,MA000083,TRUE
PAY-20260320-EMP-GRACE-HIG,EMP-GRACE-HIG,Grace High Income QA,SalaryAndWages,3461.54,991.00,415.38,RT,full_time_high_income_guarantee,MA000065,TRUE
PAY-20260327-EMP-BEN-BUILDER,EMP-BEN-BUILDER,Ben Builder,SalaryAndWages,1172.10,198.00,140.65,RT,full_time,MA000020,TRUE
PAY-20260327-EMP-AMARA-ENGINEER,EMP-AMARA-ENGINEER,Amara Engineer,SalaryAndWages,1730.77,377.00,207.69,RT,full_time_annualised_wage,MA000065,TRUE
PAY-20260327-EMP-NINA-SALES,EMP-NINA-SALES,Nina Sales Representative,SalaryAndWages,1071.90,165.00,128.63,RT,full_time_commission,MA000083,TRUE
PAY-20260327-EMP-GRACE-HIG,EMP-GRACE-HIG,Grace High Income QA,SalaryAndWages,3461.54,991.00,415.38,RT,full_time_high_income_guarantee,MA000065,TRUE
PAY-20260403-EMP-BEN-BUILDER,EMP-BEN-BUILDER,Ben Builder,SalaryAndWages,1191.10,204.00,142.93,RT,full_time,MA000020,TRUE
